Promoter Location,Bulge Location,DMS Signal
chr1:44808490-44808590,chr:144808514-44808519,0
chr1:44808490-44808590,chr:144808548-44808549,0
chr1:44808490-44808590,chr:144808532-44808535,0
chr1:44808490-44808590,chr:144808575-44808576,0
chr1:44808490-44808590,chr:144808548-44808549,0
chr1:44808490-44808590,chr:144808575-44808576,0
chr1:44808490-44808590,chr:144808556-44808557,0
chr1:44808490-44808590,chr:144808575-44808576,0
chr1:44808490-44808590,chr:144808548-44808549,0
chr1:44808490-44808590,chr:144808532-44808535,0
chr1:44808490-44808590,chr:144808498-44808499,0
chr1:44808490-44808590,chr:144808514-44808519,0
chr1:44808490-44808590,chr:144808548-44808549,0
chr11:57427030-57427130,chr:1157427065-57427066,0
chr11:57427030-57427130,chr:1157427090-57427091,0.36340567774813887
chr11:57427030-57427130,chr:1157427093-57427096,0.8231736990215306
chr11:57427030-57427130,chr:1157427084-57427085,0.8946750395407403
chr11:57427030-57427130,chr:1157427100-57427101,0
chr11:57427030-57427130,chr:1157427105-57427106,0
chr1:45012244-45012344,chr:145012275-45012277,0.13972380605851561
chr1:45012244-45012344,chr:145012324-45012325,0
chr1:45012244-45012344,chr:145012324-45012325,0
chr1:45012244-45012344,chr:145012325-45012328,0
chr1:45012244-45012344,chr:145012333-45012336,0
chr1:45012244-45012344,chr:145012315-45012316,0
chr1:45012244-45012344,chr:145012324-45012325,0
chr1:45012244-45012344,chr:145012271-45012274,0.15848131190018994
chr1:45012244-45012344,chr:145012303-45012304,0
chr1:45012244-45012344,chr:145012315-45012316,0
chr1:45012244-45012344,chr:145012324-45012325,0
chr1:45012244-45012344,chr:145012302-45012303,0
chr1:45012244-45012344,chr:145012328-45012331,0
chr1:45012244-45012344,chr:145012333-45012334,0
chr4:40205731-40205831,chr:440205781-40205782,0
chr4:40205731-40205831,chr:440205791-40205792,0
chr4:40205731-40205831,chr:440205767-40205770,0
chr4:40205731-40205831,chr:440205785-40205786,0
chr4:40205731-40205831,chr:440205791-40205792,0
chr3:39154571-39154671,chr:339154661-39154662,0
chr3:39154571-39154671,chr:339154665-39154666,0
chr3:39154571-39154671,chr:339154655-39154656,0
chr3:39154571-39154671,chr:339154641-39154643,0
chr12:54390549-54390649,chr:1254390592-54390593,0
chr11:75562247-75562347,chr:1175562253-75562254,0.546042237777958
chr11:75562247-75562347,chr:1175562259-75562264,0.4756199224433466
chr11:75562247-75562347,chr:1175562252-75562257,0.574390693201616
chr11:75562247-75562347,chr:1175562261-75562265,0.4435663987777436
chr11:75562247-75562347,chr:1175562322-75562325,0
chr1:155978105-155978205,chr:1155978129-155978130,0
chr1:155978105-155978205,chr:1155978138-155978139,0
chr1:155978105-155978205,chr:1155978173-155978175,0
chr1:155978105-155978205,chr:1155978137-155978138,0
chr1:155978105-155978205,chr:1155978137-155978138,0
